Region,Count
-1,21989
246,21149
230,21224
234,31855
42,3213
106,2433
161,32948
166,3779
195,2933
148,18139
136,124
158,21091
79,29009
61,5734
50,9936
163,21590
90,17455
164,20934
188,1862
186,16259
151,3780
17,5082
87,11234
144,19158
116,1886
48,18640
143,8847
233,9650
146,1343
138,20898
113,18463
114,16400
162,21276
97,5335
107,18253
249,24240
125,10771
75,3059
255,15217
141,13297
52,1786
152,1001
1,7044
244,2745
211,19045
225,3370
137,7902
22,425
238,9685
170,21525
129,1461
49,6025
229,10929
236,15989
142,15873
237,21633
132,23567
100,13581
239,13984
68,24533
33,5572
92,905
74,2507
112,10025
36,4707
13,9577
45,2902
71,375
231,31114
4,6413
209,4051
66,4509
41,3480
25,4729
37,6440
93,2479
260,850
262,7946
243,1781
223,2446
24,1450
7,4616
64,117
261,4883
263,9222
88,4269
216,378
80,8070
256,10199
43,4380
232,5174
40,2994
203,88
140,8445
226,2936
224,5168
10,284
29,211
198,1111
95,1995
134,473
145,5961
55,259
89,2401
189,3449
228,2128
53,131
155,299
181,10383
62,1210
76,395
197,307
65,3978
123,621
168,472
96,46
14,1743
175,111
196,539
12,236
34,699
217,461
173,145
247,1216
119,476
77,100
219,151
193,245
135,402
200,1053
254,97
82,766
252,226
70,778
191,142
39,328
72,380
215,78
118,37
257,1265
78,125
130,443
127,529
165,618
160,471
192,223
128,74
210,287
169,130
98,126
32,104
56,523
11,179
69,250
20,580
182,98
208,199
133,735
214,22
150,208
202,240
177,545
220,664
205,103
126,88
124,213
54,985
83,383
149,282
154,120
6,30
190,676
16,323
171,179
102,331
122,52
153,106
185,221
121,459
28,418
241,252
85,360
117,37
179,1266
235,114
21,401
157,507
15,138
101,116
242,221
194,240
253,84
63,126
156,22
221,47
26,462
67,494
178,321
91,474
227,558
139,58
207,51
174,225
81,60
240,95
131,194
258,265
9,92
180,159
31,109
35,224
167,113
38,60
60,49
159,169
84,3
147,58
8,26
222,52
23,29
213,169
248,62
19,107
218,65
259,88
86,37
184,50
59,8
51,128
73,87
27,15
47,128
18,152
250,110
206,28
245,23
3,120
251,18
108,113
183,78
46,27
201,21
94,56
187,5
111,40
176,4
212,76
120,21
115,20
58,24
5,2
109,1
172,3
30,3
204,1
